name,image_url,description,abv,category_id,style_id,brewery_id
La Chouffe,https://brewerydb-images.s3.amazonaws.com/beer/LTLdF5/upload_kreIEw-icon.png,"La Chouffe is an unfiltered blonde beer, which is re-fermented in the bottle as well as in the keg.  It is pleasantly fruity, spiced with coriander, and with a light hop taste.",8,5,63,D7h5Pj
Carlsberg Beer,https://brewerydb-images.s3.amazonaws.com/beer/z7LxGT/upload_lG4XWj-icon.png,"Carlsberg is a very successful beer brand, originating from Denmark, and is very popular in many different countries across the globe, espcially the U.K. There are also many stores called Carlsberg which sell Carlsberg, other beer brands, newspapers, magazines and confectionary. Carlsberg beers comes in cans and bottles.",5,7,75,BL0D3l
Stella Artois,https://brewerydb-images.s3.amazonaws.com/beer/Jc7iGI/upload_NmrNPh-icon.png,"Stella Artois was first brewed as a Christmas beer in leuven. It was named Stella from the star of Christmas, and Artois after Sebastian Artois, founder of the brewery. It's brewed to perfection using the original Stella Artois yeast and the celebrated Saaz hops. It's the optimum premium lager, with it's full flavour and clean crisp taste.",5.2,10,106,mIWMKP
Hoegaarden,https://brewerydb-images.s3.amazonaws.com/beer/wfsyxi/upload_knliYV-icon.png,"Hoegaarden is the authentic Belgian wheat or white beer. It has a unique and extremely complex brewing process whereby the brand is first top fermented and then is refermented within the bottle - ending up in a unique cloudy-white appearance. The brand's unique appearance is mirrored by its one-of-a-kind taste - sweet and sour beer with a little bitterness, slightly spicy, with a strong touch of coriander and a hint of orange, perfect for warm summer days, instead of other refreshing beverages. Refreshing, a little quirky, and decidedly different - naturally.",4.9,5,65,e4GHxW
Grimbergen Tripel,https://brewerydb-images.s3.amazonaws.com/beer/NZ4OXv/upload_HE2Y1k-icon.png,,9,5,59,9ynYAy
Bavaria,https://brewerydb-images.s3.amazonaws.com/beer/YWidsQ/upload_owuTkr-icon.png,"In this wheat beer we use our unique wheat beer yeast. This yeast is good for a fresh and easy drinking beer with moderate flavors from spice and citrus, a tasty thirst quencher.",4.5,4,48,JiKMgI
Asahi Super Dry Black,,"Bold and refreshing, Asahi Super Dry Black ventures into new territory for dark beer. Using the same yeast strain as Asahi Super Dry, this great brew is unlike any other. By inheriting the DNA of “Karakuchi” (Dry), Asahi has successfully blended the rich aromas and flavours while maintaining a smoothness never before accomplished in dark beer",5.5,8,103,tu8Rbm
Brahma Light,https://brewerydb-images.s3.amazonaws.com/beer/LhLP7o/upload_xaacCR-icon.png,,4,3,32,PYvBOs
Corona Extra,https://brewerydb-images.s3.amazonaws.com/beer/ujPz4L/upload_caVtLx-icon.png,"Corona Extra is the number-one selling beer in Mexico and the leading export brand from Mexico. This pilsener type beer was first brewed in 1925 by Cervecería Modelo, located in Mexico City.",4.6,8,97,wadu38
Budweiser,https://brewerydb-images.s3.amazonaws.com/beer/1P45iR/upload_Y13vwL-icon.png,"Known as “The King of Beers”, Budweiser was first introduced by Adolphus Busch in 1876 and is brewed with the same high quality standards today. Budweiser is a medium-bodied, flavorful, crisp American-style lager, craft brewed with a blend of premium hop varieties, and associated with the core American values of celebration and optimism.",5,8,93,BznahA
Bud Light,https://brewerydb-images.s3.amazonaws.com/beer/dimtrs/upload_794WgV-icon.png,"Introduced nationally in 1982, Bud Light is brewed using a blend of domestic and imported hops as well as a combination of barley malts and rice.  It contains more malt and hops by ratio of ingredients than Budweiser, which gives the brew a distinctively clean and crisp taste.",4.2,8,94,BznahA
Guinness Draught,https://brewerydb-images.s3.amazonaws.com/beer/StkEiv/upload_etArOb-icon.png,"Swirling clouds tumble as the storm begins to calm, settle, breathe in the moment, then break through the smooth, light head to the bittersweet reward. Unmistakably GUINNESS® beer, stout, or draught , from the first velvet sip to the last, lingering drop. And every deep-dark satisfying mouthful in between. Pure beauty. Pure GUINNESS®.",4.3,2,23,HaPdSL
Westmalle Trappist Tripel,https://brewerydb-images.s3.amazonaws.com/beer/yuxw75/upload_C6JM2G-icon.png,"Was first brewed in 1934 and the recipe has not changed since 1956. It is made with pale candy sugar and has a very pale color produced from a mash of light pilsener malts. Styrian Goldings hops are used along with some German varieties and the classic Saaz pilsener hop. After a long secondary fermentation, the Tripel Westmalle is bottled with a dose of sugar and yeast. This beer holds up well in the bottle over time and seems to soften with age.",9.5,5,59,vLLvs6
