name;address;photo;opening_time;happy_hours;description;beers
chai33;33 Cour Saint-Emilion, 75012 Paris;https://www.chai33.com/wp-content/uploads/restaurant-cave-a-vin-chai33-3.jpg;08:00–00:30;;Vaste restaurant, bar et cave à vins à la cuisine française créative dans le cadre raffiné d'un ancien chai.;"[""Heineken"", ""Affligem"", ""Vertigo""]"
The Bombardier;2 Place du Panthéon, 75005 Paris;https://www.bierestory.fr/media/reviews/photos/thumbnail/300x300s/ab/1b/01/outside-seating-as-well-6-1379621874.jpg;12:00–02:00;;Pub anglais traditionnel au décor en bois avec nombreuses bières anglaises, plats typiques et soirées rugby.;"[""Charlie Wells Triple Hopped "", ""London Stout"", ""Bombardier"", ""JB Classic"", ""Director’s"", ""No.8"", ""OLD ROSIE""]"
The lions;153 Rue du Chevaleret, 75013 Paris;https://media-cdn.tripadvisor.com/media/photo-s/0f/04/04/29/le-lion-bar-de-paris.jpg;;;Entre boiseries, chesterfields et papier peint, ce pub anglais propose bières, cocktails et carte classique.;"[""Kilkenny"", ""Guiness"", ""Hop House 13"", ""Proper Job IPA"", ""Calsberg"", ""Grimbergen"", ""Picon Biere"", ""1664 Blanc"", ""Brewdog"", ""Bulmers pomme"", ""Chouffe"", ""Corona"", ""Cubanisto"", ""DEsperados"", ""Duvel"", ""Triple Karmelit"", ""Barbar bock""]"
iguana-bastille;15 Rue de la Roquette, 75011 Paris;https://ik.imagekit.io/youshould/tr:w-700,rt-auto/Bar/prod/B8E99358-ED5F-4E3B-A22F-44ED82FC5F91/20170127160101369ys/1485530161.jpg;16:00–05:00;18H00 - 21H00;Située dans le quartier de Bastille, l’Iguana Bastille est un bar idéal pour une soirée festive dans un cadre prestigieux. Dès le premier abord, ce bar se distingue par son décor : on a l’impression d’entrer dans un véritable palace, où l’or et le rouge sont à l’honneur. Cela donne à l’Iguana Café son identité distinguée et festive. La lumière tamisée et un fond musical pas trop fort vous permettra de discuter avec vos invités, et donnera à vos cocktails, afterworks et soirées d’entreprise un cachet de convivialité. Un conseil : passez par la terrasse !;"[""HEINEKEN"", ""AFFLIGEM"", ""DESPERADOS"", ""EDELWEISS"", ""CUBANISTO"", ""BUD"", ""GUINNESS"", ""TUATARA NEW ZEALAND""]"
La Belette Qui Tète  ;17 Boulevard Arago, 75013 Paris;https://media.timeout.com/images/100618137/630/472/image.jpg;18:00–02:00;20h00 et 22h0;La Belette is back and better than ever ! Nouvelle carte, nouvelles bières, et privatisation enfin rendue possible !!! ;"[""La Belette"", ""La Brooklyn"", ""La Blanche"", ""La Palm"", ""La Bête"", ""La Tripel Karmelie""]"
Troll café;27 Rue de Cotte, 75012 Paris;https://www.justacote.com/photos_entreprises/troll-cafe-paris-14443980110.jpg;De 17 H à 02 H.;17H à 20H;Bières belges à l'honneur dans ce bar décontracté au look patiné, orné d'affiches vintage et de panneaux.;"[""La Slurfke brune"", ""Chouffe blonde "", ""Cuvée des Trolls blonde"", ""Cornet blonde triple"", ""Haacht blonde"", ""Kasteel Rouge"", ""Steen Brugge "", ""Palm ambrée"", ""Half Half""]"
Demory Paris;62 Rue Quincampoix, 75004 Paris;http://demoryparis.com/wp-content/uploads/2017/10/LogoDemoryrond-copie-copie.png;18:00–02:00;;Ce bar propose des bières et saucisses artisanales dans un décor design avec de grandes tables en bois clair.;"[""ASTROBLONDE"", ""ROQUETTE BLANCHE"", ""NOVA NOIRE"", ""COSMOBLONDE"", ""CALLISTO PALE ALE"", ""ATOMIQUE"", ""INTRÉPIDE IPA"", ""AVENTURE APA""]"
Bar & beer;4 Rue du Charolais, 75012 Paris;https://ik.imagekit.io/youshould/tr:w-700,rt-auto/Bar/prod/2E846F7F-76F0-4C79-9E07-E50034588260/20170524090515417ys/1495617376.jpg;16:00–02:00;;Une ambiance pleine de charme, une atmosphère captivante, voilà ce qui fait de chez nous un endroit spécial. Notre équipe accueillante est là tous les jours pour répondre à tous vos besoins grâce à notre offre variée de plats et de boissons. Venez nous rendre visite, plongez dans cette ambiance unique et laissez-vous convaincre !;"[""Baptist Wit "", ""Delen Triple "", ""Bornem Tripel"", ""Piraat Triple Hop "", ""Gulden Draak 9000 Quadruple"", ""Gulden Draak ""]"
La fine mousse;4 bis Avenue Jean Aicard, 75011 Paris;https://u.tfstatic.com/restaurant_photos/450/38450/169/612/la-fine-mousse-restaurant-devanture-3124c.jpg;19:00–22:00;;Ce restaurant convivial propose des assiettes à partager autour de bières pression et bouteilles artisanales.;"[""Weihenstephaner Pils"", ""Triticum"", ""Hauria"", ""Perle de Noël"", ""Volcelest Triple"", ""Hybrid Theory"", ""Green Is Lord"", ""Freezo"", ""Yeast Is King "", ""Spleen Doctor"", ""Bigorre IPA"", ""Farmhouse Pale Ale""]"
Brewberry bar à bières  ;11 Rue du Pot de Fer, 75005 Paris;https://ik.imagekit.io/youshould/tr:w-700,rt-auto/Bar/prod/AEFBEFDE-C170-4BE8-ACBF-11881272737B/20170127170145121ys/1485533505.jpg;17:00–01:00;;Une sélection de 24 bières pressions constamment renouvelées pour découvrir le meilleur de la bière artisanale internationale. Un approvisionnement en direct brasserie pour vous garantir des nouveautés à la pointe de la fraîcheur de la qualité.;"[""Wilde Leeuw"", ""Naparbier"", ""Saint Feuillien"", ""Evil Twin"", ""Alesmith""]"
